,Sales_ID,name,year,selling_price,km_driven,Region,State or Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sold
1622,1673,Maruti,2015,650000,110000,Central,Iowa,Iowa City,Diesel,Individual,Manual,Third_Owner,20.77,1248,88.76,200Nm@ 1750rpm,7,Y
1623,1674,Hyundai,2015,1300000,48000,Central,Iowa,Fort Dodge,Diesel,Individual,Manual,Second_Owner,19.67,1582,126.2,259.9Nm@ 1900-2750rpm,5,Y
1632,1683,Fiat,2015,700000,20000,East,Pennsylvania,Hanover,Diesel,Individual,Manual,First_Owner,20.4,1248,91.7,209Nm@ 2000rpm,5,Y
1634,1685,Maruti,2015,800000,15000,West,Colorado,Lakewood,Diesel,Individual,Manual,First_Owner,23.65,1248,88.5,200Nm@ 1750rpm,5,Y
1647,1698,Hyundai,2015,600000,108000,Central,Illinois,Rock Island,Diesel,Individual,Manual,First_Owner,21.19,1396,88.73,220Nm@ 1500-2750rpm,5,Y
1650,1701,Maruti,2015,409999,18500,Central,Illinois,Rockford,Petrol,Individual,Manual,First_Owner,20.51,998,67.04,90Nm@ 3500rpm,5,Y
1652,1703,Renault,2015,290000,15200,South,Florida,Ormond Beach,Petrol,Individual,Manual,First_Owner,25.17,799,53.3,72Nm@ 4386rpm,5,Y
1653,1704,Honda,2015,500000,35000,South,Florida,Ormond Beach,Petrol,Individual,Manual,First_Owner,17.3,1497,117.3,145Nm@ 4600rpm,7,Y
1662,1713,Tata,2015,503000,110000,South,Georgia,Evans,Diesel,Individual,Manual,First_Owner,14.1,2179,147.94,320Nm@ 1500-3000rpm,7,Y
1597,1647,Hyundai,2015,400000,100000,West,Washington,Olympia,Petrol,Individual,Automatic,First_Owner,16.9,1197,81.86,113.75Nm@ 4000rpm,5,Y
1596,1646,Maruti,2015,434999,25000,West,Washington,Olympia,Petrol,Individual,Manual,Second_Owner,20.85,1197,83.14,115Nm@ 4000rpm,5,Y
1527,1576,Ford,2015,625000,70670,West,Utah,Provo,Petrol,Trustmark_Dealer,Automatic,First_Owner,16.5,1499,110.0,140Nm@ 4400rpm,5,Y
1535,1584,Maruti,2015,350000,58500,West,Utah,Pleasant Grove,Petrol,Individual,Manual,First_Owner,18.5,1197,85.8,114Nm@ 4000rpm,5,Y
1539,1588,Ford,2015,600000,63000,West,Oregon,Corvallis,Diesel,Individual,Manual,First_Owner,22.77,1498,98.59,205Nm@ 1750-3250rpm,5,Y
1559,1608,Maruti,2015,285000,40000,Central,Oklahoma,Broken Arrow,Petrol,Individual,Manual,First_Owner,23.95,998,67.05,90Nm@ 3500rpm,5,Y
1569,1618,Hyundai,2015,250000,80000,East,Ohio,Hilliard,Petrol,Individual,Manual,First_Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5,Y
1573,1622,Maruti,2015,330000,70000,West,California,East Los Angeles,Petrol,Individual,Manual,Third_Owner,23.1,998,67.04,90Nm@ 3500rpm,5,Y
1282,1321,Mahindra,2015,950000,120000,West,California,Los Banos,Diesel,Individual,Manual,Third_Owner,15.4,1997,120.0,280Nm@ 1800-2800rpm,7,Y
900,929,Honda,2015,750000,160000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,First_Owner,25.1,1498,98.6,200Nm@ 1750rpm,5,Y
919,948,Chevrolet,2015,240000,55000,West,Washington,Seattle,Diesel,Individual,Manual,First_Owner,25.44,936,56.3,142.5Nm@ 1750rpm,5,Y
931,960,Mahindra,2015,850000,90000,East,District of Columbia,Washington,Diesel,Individual,Manual,First_Owner,15.1,2179,140.0,330Nm@ 1600-2800rpm,7,Y
939,968,Maruti,2015,550000,23000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,25.2,1248,74.0,190Nm@ 2000rpm,5,Y
949,978,Hyundai,2015,650000,100000,South,Florida,Miami,Diesel,Individual,Manual,First_Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5,Y
950,979,Hyundai,2015,650000,80000,East,District of Columbia,Washington,Diesel,Individual,Manual,First_Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5,Y
963,992,Mahindra,2015,715000,70000,East,District of Columbia,Washington,Diesel,Individual,Manual,First_Owner,15.4,2179,120.0,280Nm@ 1800-2800rpm,7,Y
978,1008,Toyota,2015,1325000,114368,Central,Texas,Houston,Diesel,Dealer,Manual,Second_Owner,12.99,2494,100.6,200Nm@ 1200-3600rpm,7,Y
989,1020,Mahindra,2015,885000,170000,Central,Illinois,Chicago,Diesel,Individual,Manual,First_Owner,15.4,2179,120.0,280Nm@ 1800-2800rpm,7,Y
1003,1034,Honda,2015,760000,70000,Central,Illinois,Hoffman Estates,Diesel,Individual,Manual,Third_Owner,25.1,1498,98.6,200Nm@ 1750rpm,5,Y
1006,1037,Maruti,2015,270000,53000,Central,Illinois,Highland Park,Petrol,Individual,Manual,Second_Owner,22.74,796,47.3,69Nm@ 3500rpm,5,Y
1023,1055,Hyundai,2015,750000,74000,West,Washington,Elk Plain,Diesel,Individual,Manual,First_Owner,19.67,1582,126.2,259.9Nm@ 1900-2750rpm,5,Y
806,834,Maruti,2015,235000,20000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,22.74,796,47.3,69Nm@ 3500rpm,5,Y
807,835,Ford,2015,615000,80000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,22.77,1498,98.59,205Nm@ 1750-3250rpm,5,Y
816,844,Hyundai,2015,360000,20000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5,Y
826,854,Hyundai,2015,204999,43000,Central,Illinois,Chicago,Petrol,Individual,Manual,Second_Owner,20.3,998,68.05,94.14Nm@ 3500rpm,5,Y
837,866,Maruti,2015,750000,14000,East,Massachusetts,Boston,Diesel,Individual,Manual,First_Owner,20.77,1248,88.76,200Nm@ 1750rpm,7,Y
843,872,Toyota,2015,1050000,60000,East,Massachusetts,Boston,Diesel,Individual,Manual,First_Owner,21.43,1364,87.2,205Nm@ 1800-2800rpm,5,Y
852,881,Maruti,2015,350000,25000,West,Washington,Seattle,Petrol,Individual,Manual,First_Owner,23.1,998,67.04,90Nm@ 3500rpm,5,Y
857,886,Chevrolet,2015,371000,40000,East,District of Columbia,Washington,Petrol,Individual,Manual,First_Owner,18.2,1199,82.4,108.5Nm@ 5000rpm,5,Y
864,893,Skoda,2015,900000,168000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,20.6,1968,141.0,320Nm@ 1750-3000rpm,5,Y
882,911,Hyundai,2015,270000,43000,Central,Illinois,Chicago,Petrol,Individual,Manual,First_Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5,Y
1170,1206,Maruti,2015,511000,30000,South,Alabama,Madison,Petrol,Individual,Manual,First_Owner,20.85,1197,83.14,115Nm@ 4000rpm,5,Y
1172,1208,Tata,2015,325000,50000,East,New Jersey,Avenel,Petrol,Individual,Manual,First_Owner,17.57,1193,88.7,140Nm@ 1500-4000rpm,5,Y
1181,1220,Maruti,2015,600000,110000,Central,Wisconsin,Fitchburg,Diesel,Individual,Manual,First_Owner,26.21,1248,88.5,200Nm@ 1750rpm,5,Y
1190,1229,Maruti,2015,310000,72000,East,Pennsylvania,Greensburg,Petrol,Individual,Manual,First_Owner,15.37,1196,73.0,101Nm@ 3000rpm,5,Y
1193,1232,Hyundai,2015,225000,120000,East,Pennsylvania,Greensburg,Petrol,Individual,Manual,Second_Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5,Y
1203,1242,Hyundai,2015,500000,126000,East,New York,Valley Stream,Diesel,Individual,Manual,First_Owner,21.19,1396,88.73,219.66nm@ 1500-2750rpm,5,Y
1222,1261,Maruti,2015,650000,84000,South,South Carolina,Taylors,Diesel,Individual,Manual,First_Owner,28.09,1248,88.5,200Nm@ 1750rpm,5,Y
1231,1270,Renault,2015,200000,50000,South,Florida,Tampa,Petrol,Individual,Manual,First_Owner,25.17,799,53.3,72Nm@ 4386rpm,5,Y
1254,1293,Ford,2015,600000,90000,West,Oregon,West Linn,Diesel,Individual,Manual,First_Owner,22.77,1498,98.59,205Nm@ 1750-3250rpm,5,Y
1280,1319,Hyundai,2015,465000,50000,West,California,Los Gatos,Petrol,Individual,Manual,Second_Owner,17.43,1396,105.5,135.3Nm@ 5000rpm,5,Y
1041,1073,Honda,2015,610000,30000,West,Oregon,Albany,Petrol,Dealer,Manual,First_Owner,18.7,1199,88.7,110Nm@ 4800rpm,5,Y
1049,1081,Tata,2015,503000,110000,Central,Texas,Pflugerville,Diesel,Individual,Manual,First_Owner,14.1,2179,147.94,320Nm@ 1500-3000rpm,7,Y
1068,1100,Tata,2015,503000,110000,South,North Carolina,Greensboro,Diesel,Individual,Manual,First_Owner,14.1,2179,147.94,320Nm@ 1500-3000rpm,7,Y
1087,1119,Tata,2015,503000,110000,East,Maryland,Dundalk,Diesel,Individual,Manual,First_Owner,14.1,2179,147.94,320Nm@ 1500-3000rpm,7,Y
1106,1138,Tata,2015,503000,110000,East,Maryland,Dundalk,Diesel,Individual,Manual,First_Owner,14.1,2179,147.94,320Nm@ 1500-3000rpm,7,Y
1129,1161,Chevrolet,2015,480000,80000,West,Arizona,Scottsdale,Diesel,Individual,Manual,Second_Owner,22.1,1248,74.0,190Nm@ 1750rpm,5,Y
1132,1164,Maruti,2015,350000,90000,East,Connecticut,Colchester,Diesel,Individual,Manual,First_Owner,23.2,1248,73.94,190Nm@ 2000rpm,5,Y
1150,1182,Mahindra,2015,1050000,90000,Central,Oklahoma,Oklahoma City,Diesel,Individual,Manual,First_Owner,15.4,2179,120.0,280Nm@ 1800-2800rpm,7,Y
1749,1802,Maruti,2015,220000,40000,East,New York,Rome,Petrol,Individual,Manual,Second_Owner,22.74,796,47.3,69Nm@ 3500rpm,5,Y
1435,1482,Maruti,2016,600000,80000,East,New York,Dix Hills,Diesel,Individual,Manual,Second_Owner,26.59,1248,74.0,190Nm@ 2000rpm,5,Y
1460,1508,Maruti,2016,350000,25000,Central,Michigan,Battle Creek,Petrol,Individual,Manual,First_Owner,20.51,998,67.04,90Nm@ 3500rpm,5,Y
1466,1515,Honda,2016,900000,92000,Central,Michigan,Ann Arbor,Diesel,Individual,Manual,First_Owner,21.9,1498,98.6,200Nm@ 1750rpm,7,Y
1471,1520,Hyundai,2016,610000,23000,Central,Michigan,Ann Arbor,Diesel,Individual,Manual,First_Owner,24.0,1120,70.0,160Nm@ 1500-2750rpm,5,Y
1520,1569,Maruti,2016,600000,6757,West,Idaho,Lewiston,Petrol,Trustmark_Dealer,Manual,First_Owner,21.01,1197,81.8,113Nm@ 4200rpm,5,Y
1521,1570,Skoda,2016,675000,28182,West,Arizona,Chandler,Petrol,Trustmark_Dealer,Automatic,First_Owner,14.3,1598,103.52,153Nm@ 3800rpm,5,Y
1524,1573,Toyota,2016,2000000,68089,West,Utah,Pleasant Grove,Petrol,Trustmark_Dealer,Automatic,First_Owner,19.16,2494,157.7,213Nm@ 4500rpm,5,Y
1530,1579,Honda,2016,550000,56494,Central,Nebraska,Papillion,Petrol,Trustmark_Dealer,Manual,First_Owner,18.2,1199,88.7,110Nm@ 4800rpm,5,Y
1500,1549,Ford,2016,670000,50478,South,Virginia,Rose Hill,Petrol,Individual,Manual,First_Owner,15.85,1499,110.4,140Nm@ 4400rpm,5,Y
1502,1551,Renault,2016,515000,40000,South,Virginia,Rose Hill,Diesel,Individual,Manual,First_Owner,19.87,1461,83.8,200Nm@ 1750rpm,5,Y
1505,1554,Maruti,2016,300000,40000,East,Maine,Portland,Petrol,Individual,Manual,First_Owner,22.74,796,47.3,69Nm@ 3500rpm,5,Y
1270,1309,Maruti,2016,305000,60000,West,California,Los Banos,Petrol,Individual,Manual,Second_Owner,22.74,796,47.3,69Nm@ 3500rpm,5,Y
1271,1310,Renault,2016,315000,51500,West,California,Los Altos,Petrol,Individual,Manual,First_Owner,25.17,799,53.3,72Nm@ 4386rpm,5,Y
1272,1311,Chevrolet,2016,250000,60000,West,California,Los Gatos,Diesel,Individual,Manual,Second_Owner,22.1,1248,74.0,190Nm@ 1750rpm,5,Y
1290,1330,Maruti,2016,649000,70000,West,California,Manhattan Beach,Diesel,Individual,Manual,First_Owner,26.59,1248,74.0,190Nm@ 2000rpm,5,Y
1209,1248,Maruti,2016,392000,38000,East,New York,Utica,Petrol,Individual,Manual,First_Owner,15.37,1196,73.0,101Nm@ 3000rpm,5,Y
1235,1274,Honda,2016,850000,72113,Central,Michigan,Dearborn Heights,Diesel,Individual,Manual,First_Owner,21.9,1498,98.6,200Nm@ 1750rpm,7,Y
1418,1465,Mahindra,2016,745000,67000,Central,Kansas,Hutchinson,Diesel,Individual,Manual,First_Owner,15.4,1997,120.0,280Nm@ 1800-2800rpm,7,Y
1392,1437,Hyundai,2016,651000,42323,East,New York,Ithaca,Diesel,Dealer,Manual,First_Owner,21.19,1396,88.76,219.66nm@ 1500-2750rpm,5,Y
1395,1440,Honda,2016,500000,30000,East,Maine,West Scarborough,Diesel,Individual,Manual,First_Owner,27.3,1498,98.6,200Nm@ 1750rpm,5,Y
1397,1442,Maruti,2016,690000,32000,East,Ohio,Hudson,Diesel,Dealer,Manual,First_Owner,25.1,1248,88.5,200Nm@ 1750rpm,5,Y
1411,1458,Mahindra,2016,403000,30000,Central,Kansas,Hutchinson,Diesel,Individual,Manual,Second_Owner,17.21,1493,100.0,240Nm@ 1600-2800rpm,7,Y
1413,1460,Maruti,2016,525000,40000,Central,Kansas,Hutchinson,Diesel,Individual,Manual,Second_Owner,26.59,1248,74.0,190Nm@ 2000rpm,5,Y
1325,1368,Honda,2016,825000,21446,Central,Minnesota,Bloomington,Petrol,Dealer,Manual,First_Owner,16.8,1497,116.3,146Nm@ 4800rpm,5,Y
1336,1379,Maruti,2016,400000,74381,South,Georgia,Atlanta,Petrol,Dealer,Manual,First_Owner,21.79,998,67.05,90Nm@ 3500rpm,5,Y
1345,1388,Hyundai,2016,575000,53000,South,Georgia,Columbus,Diesel,Dealer,Manual,First_Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5,Y
1351,1395,Nissan,2016,495000,56832,South,Georgia,Dalton,Diesel,Dealer,Manual,First_Owner,19.87,1461,83.14,200Nm@ 1750rpm,5,Y
1333,1376,Honda,2016,475000,2118,Central,Minnesota,Brooklyn Park,Petrol,Dealer,Manual,First_Owner,19.4,1198,86.8,109Nm@ 4500rpm,5,Y
1793,1848,Maruti,2016,550000,20000,Central,Illinois,Gurnee,Petrol,Individual,Manual,First_Owner,20.4,1197,81.8,113Nm@ 4200rpm,5,Y
1795,1850,Honda,2016,773000,65000,Central,Illinois,Hanover Park,Petrol,Individual,Manual,First_Owner,17.8,1497,117.3,145Nm@ 4600rpm,5,Y
1809,1864,Toyota,2016,2000000,68089,East,New York,Binghamton,Petrol,Trustmark_Dealer,Automatic,First_Owner,19.16,2494,157.7,213Nm@ 4500rpm,5,Y
1814,1869,Honda,2016,675000,53201,East,New York,Auburn,Petrol,Trustmark_Dealer,Manual,Second_Owner,17.8,1497,117.3,145Nm@ 4600rpm,5,Y
1833,1888,Maruti,2016,700000,78000,Central,Indiana,Lawrence,Diesel,Individual,Manual,First_Owner,27.39,1248,74.0,190Nm@ 2000rpm,5,Y
1844,1899,Maruti,2016,570000,90000,Central,Texas,Laredo,Petrol,Individual,Manual,First_Owner,20.4,1197,81.8,113Nm@ 4200rpm,5,Y
1811,1866,Honda,2016,550000,56494,East,New York,Binghamton,Petrol,Trustmark_Dealer,Manual,First_Owner,18.2,1199,88.7,110Nm@ 4800rpm,5,Y
1771,1826,Hyundai,2016,340000,30000,Central,Texas,Brownsville,Petrol,Individual,Manual,First_Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5,Y
1761,1815,Maruti,2016,465000,20000,Central,Texas,Burleson,Petrol,Individual,Manual,First_Owner,20.51,998,67.04,90Nm@ 3500rpm,5,Y
1741,1794,Hyundai,2016,749000,25000,East,New York,Rochester,Petrol,Individual,Manual,First_Owner,17.01,1591,121.3,154.9Nm@ 4200rpm,5,Y
1748,1801,Renault,2016,260000,30000,East,New York,Rochester,Petrol,Individual,Manual,First_Owner,25.17,799,53.3,72Nm@ 4386rpm,5,Y
1751,1804,Hyundai,2016,400000,80000,South,Arkansas,Van Buren,Petrol,Individual,Manual,First_Owner,18.9,1197,82.0,114Nm@ 4000rpm,5,Y
1849,1904,Maruti,2016,660000,55000,Central,Texas,Laredo,Diesel,Individual,Manual,First_Owner,26.59,1248,74.0,190Nm@ 2000rpm,5,Y
1936,1996,Maruti,2016,839000,63000,West,Oregon,Albany,Diesel,Dealer,Manual,First_Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,Y
1962,2022,Maruti,2016,240000,50000,South,Florida,Poinciana,Petrol,Individual,Manual,First_Owner,22.74,796,47.3,69Nm@ 3500rpm,5,Y
1970,2031,Hyundai,2016,511000,80000,East,Ohio,Lima,Diesel,Individual,Manual,First_Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5,Y
1856,1911,Tata,2016,900000,120000,Central,Illinois,Rockford,Diesel,Individual,Manual,First_Owner,14.1,2179,147.94,320Nm@ 1500-3000rpm,5,Y
1868,1924,Ford,2016,2280000,120000,Central,Minnesota,Minneapolis,Diesel,Individual,Automatic,Second_Owner,10.91,3198,197.0,470Nm@ 1750-2500rpm,7,Y
1887,1944,Maruti,2016,310000,15000,East,New York,Yonkers,Petrol,Individual,Manual,First_Owner,22.74,796,47.3,69Nm@ 3500rpm,5,Y
1903,1962,Hyundai,2016,710000,40000,Central,Indiana,Munster,Diesel,Individual,Manual,First_Owner,24.8,1396,88.7,219.7Nm@ 1750-2750rpm,5,Y
1997,2059,Maruti,2016,245000,50000,West,Utah,Layton,Petrol,Individual,Manual,First_Owner,22.74,796,47.3,69Nm@ 3500rpm,5,Y
1582,1631,Mahindra,2016,600000,100000,West,Washington,Mount Vernon,Diesel,Individual,Manual,First_Owner,17.45,1493,100.0,240Nm@ 1600-2800rpm,7,Y
1593,1643,Maruti,2016,500000,30000,West,Washington,Marysville,Petrol,Individual,Manual,First_Owner,20.85,1197,83.14,115Nm@ 4000rpm,5,Y
1607,1658,Hyundai,2016,650000,29000,West,Washington,Mount Vernon,Petrol,Individual,Manual,First_Owner,18.6,1197,81.83,114.7Nm@ 4000rpm,5,Y
1611,1662,Maruti,2016,220000,90000,East,West Virginia,Morgantown,Petrol,Individual,Manual,First_Owner,16.8,796,34.2,59Nm@ 2500rpm,8,Y
1619,1670,Maruti,2016,650000,50000,Central,Iowa,Fort Dodge,Diesel,Individual,Automatic,Second_Owner,26.59,1248,74.0,190Nm@ 2000rpm,5,Y
1621,1672,Hyundai,2016,700000,40000,Central,Iowa,Fort Dodge,Diesel,Individual,Manual,First_Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5,Y
1624,1675,Volkswagen,2016,1350000,97000,Central,Iowa,Fort Dodge,Diesel,Individual,Automatic,First_Owner,16.96,1968,138.03,320Nm@ 1750-2500rpm,5,Y
1625,1676,Volkswagen,2016,1000000,60000,Central,Iowa,Fort Dodge,Diesel,Individual,Automatic,First_Owner,22.15,1498,108.6,250Nm@ 1500-3000rpm,5,Y
1579,1628,Hyundai,2016,650000,30000,East,Maine,West Scarborough,Diesel,Individual,Manual,First_Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5,Y
1540,1589,Mahindra,2016,720000,35000,West,Oregon,Bend,Diesel,Individual,Manual,First_Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7,Y
1977,2038,Ford,2016,500000,143200,South,Tennessee,Hendersonville,Diesel,Individual,Manual,First_Owner,25.83,1498,99.0,215Nm@ 1750-3000rpm,5,Y
1560,1609,Hyundai,2016,850000,58000,Central,Oklahoma,Bartlesville,Diesel,Individual,Manual,First_Owner,19.67,1582,126.2,259.9Nm@ 1900-2750rpm,5,Y
1564,1613,Hyundai,2016,220000,100000,East,Ohio,Hilliard,Petrol,Individual,Manual,First_Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5,Y
1631,1682,Maruti,2016,260000,65000,South,Florida,Belle Glade,Petrol,Individual,Manual,Second_Owner,22.74,796,47.3,69Nm@ 3500rpm,5,Y
1696,1747,Mahindra,2016,375000,80000,Central,Illinois,Wilmette,Diesel,Individual,Manual,First_Owner,25.32,1198,77.0,190Nm@ 1750-2250rpm,6,Y
1707,1759,Ford,2016,377000,80000,Central,Indiana,Columbus,Diesel,Individual,Manual,First_Owner,25.83,1498,99.0,215Nm@ 1750-3000rpm,5,Y
1713,1765,Toyota,2016,570000,145000,Central,Indiana,Anderson,Diesel,Individual,Manual,Second_Owner,23.59,1364,67.05,170Nm@ 1800-2400rpm,5,Y
1725,1777,Ford,2016,459999,73000,East,Pennsylvania,Mount Lebanon,Diesel,Individual,Manual,First_Owner,25.83,1498,99.0,215Nm@ 1750-3000rpm,5,Y
1637,1688,Hyundai,2016,520000,29000,West,Colorado,Lakewood,Petrol,Individual,Manual,First_Owner,18.6,1197,81.83,114.7Nm@ 4000rpm,5,Y
1645,1696,Mahindra,2016,730000,65100,West,Colorado,Highlands Ranch,Diesel,Individual,Manual,Second_Owner,18.49,1493,100.0,240Nm@ 1600-2800rpm,7,Y
1651,1702,Mahindra,2016,625000,120000,Central,Illinois,Rock Island,Diesel,Individual,Manual,First_Owner,18.49,1493,100.0,240Nm@ 1600-2800rpm,7,Y
1664,1715,Toyota,2016,2000000,68089,South,Georgia,Evans,Petrol,Trustmark_Dealer,Automatic,First_Owner,19.16,2494,157.7,213Nm@ 4500rpm,5,Y
1667,1718,Honda,2016,550000,56494,South,Georgia,East Point,Petrol,Trustmark_Dealer,Manual,First_Owner,18.2,1199,88.7,110Nm@ 4800rpm,5,Y
1676,1727,Skoda,2016,645000,11000,East,Ohio,Cleveland Heights,Petrol,Dealer,Automatic,First_Owner,14.3,1598,103.5,153Nm@ 3800rpm,5,Y
1683,1734,Maruti,2016,756000,70000,East,Ohio,Cleveland,Diesel,Individual,Manual,Second_Owner,24.52,1248,88.5,200Nm@ 1750rpm,7,Y
400,415,Toyota,2016,2000000,68089,Central,Michigan,Detroit,Petrol,Trustmark_Dealer,Automatic,First_Owner,19.16,2494,157.7,213Nm@ 4500rpm,5,Y
403,418,Honda,2016,550000,56494,South,Florida,Miami,Petrol,Trustmark_Dealer,Manual,First_Owner,18.2,1199,88.7,110Nm@ 4800rpm,5,Y
412,427,Skoda,2016,645000,11000,West,California,Los Angeles,Petrol,Dealer,Automatic,First_Owner,14.3,1598,103.5,153Nm@ 3800rpm,5,Y
428,443,Maruti,2016,600000,47000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,25.2,1248,74.0,190Nm@ 2000rpm,5,Y
434,449,Ford,2016,550000,44000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,18.16,1196,86.8,112Nm@ 4000rpm,5,Y
436,451,Hyundai,2016,800000,25000,Central,Texas,Dallas,Petrol,Individual,Manual,First_Owner,15.29,1591,121.3,151Nm@ 4850rpm,5,Y
452,467,Chevrolet,2016,420000,110000,West,California,Los Angeles,Diesel,Individual,Manual,Second_Owner,18.2,1248,73.74,172.5Nm@ 1750rpm,7,Y
390,405,Mahindra,2016,1290000,50000,South,North Carolina,Charlotte,Diesel,Individual,Automatic,First_Owner,16.0,2179,140.0,330Nm@ 1600-2800rpm,7,Y
384,399,Maruti,2016,240000,50000,Central,Illinois,Chicago,Petrol,Individual,Manual,First_Owner,22.74,796,47.3,69Nm@ 3500rpm,5,Y
305,318,Renault,2016,229999,40000,East,District of Columbia,Washington,Petrol,Individual,Manual,First_Owner,25.17,799,53.3,72Nm@ 4386rpm,5,Y
311,324,Maruti,2016,650000,50000,West,Washington,Seattle,Petrol,Individual,Automatic,First_Owner,21.4,1197,83.1,115Nm@ 4000rpm,5,Y
335,349,Datsun,2016,335000,40000,South,North Carolina,Charlotte,Petrol,Dealer,Manual,First_Owner,20.63,1198,67.0,104Nm@ 4000rpm,5,Y
353,367,Maruti,2016,550000,60000,West,California,Los Angeles,Diesel,Individual,Manual,Second_Owner,26.59,1248,74.0,190Nm@ 2000rpm,5,Y
355,369,Renault,2016,300000,30000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,25.17,799,53.3,72Nm@ 4386rpm,5,Y
356,370,Volkswagen,2016,800000,70000,West,California,Los Angeles,Petrol,Individual,Automatic,First_Owner,16.34,1798,189.3,250Nm@ 1250-5300rpm,5,Y
362,376,Toyota,2016,2000000,68089,West,Washington,Seattle,Petrol,Trustmark_Dealer,Automatic,First_Owner,19.16,2494,157.7,213Nm@ 4500rpm,5,Y
365,379,Honda,2016,550000,56494,East,New York,New York City,Petrol,Trustmark_Dealer,Manual,First_Owner,18.2,1199,88.7,110Nm@ 4800rpm,5,Y
374,388,Skoda,2016,645000,11000,Central,Michigan,Detroit,Petrol,Dealer,Automatic,First_Owner,14.3,1598,103.5,153Nm@ 3800rpm,5,Y
455,470,Maruti,2016,600000,147000,Central,Illinois,Chicago,Diesel,Individual,Manual,Second_Owner,26.59,1248,74.0,190Nm@ 2000rpm,5,Y
459,474,Nissan,2016,370000,35000,Central,Illinois,Chicago,Petrol,Individual,Manual,First_Owner,19.49,1198,67.04,104Nm@ 4000rpm,5,Y
461,476,Mahindra,2016,280000,100000,South,North Carolina,Charlotte,Diesel,Individual,Manual,First_Owner,25.32,1198,77.0,190Nm@ 1750-2250rpm,6,Y
533,551,Toyota,2016,1800000,30000,West,Washington,Seattle,Diesel,Individual,Automatic,First_Owner,11.36,2755,171.5,360Nm@ 1200-3400rpm,7,Y
534,552,Hyundai,2016,850000,58000,West,Washington,Seattle,Diesel,Individual,Manual,First_Owner,19.67,1582,126.2,259.9Nm@ 1900-2750rpm,5,Y
538,556,Honda,2016,484999,30000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,18.7,1199,88.7,110Nm@ 4800rpm,5,Y
550,568,Maruti,2016,675000,52000,West,California,San Diego,Diesel,Individual,Manual,First_Owner,23.65,1248,88.5,200Nm@ 1750rpm,5,Y
558,578,Mahindra,2016,1100000,100000,West,Washington,Seattle,Diesel,Individual,Manual,First_Owner,15.4,1997,120.0,280Nm@ 1800-2800rpm,7,Y
561,581,Maruti,2016,250000,50000,Central,Texas,Dallas,Petrol,Individual,Manual,Second_Owner,24.7,796,47.3,69Nm@ 3500rpm,5,Y
570,590,Chevrolet,2016,375000,53319,Central,Illinois,Chicago,Diesel,Dealer,Manual,First_Owner,25.44,936,56.3,142.5Nm@ 1750rpm,5,Y
574,594,Renault,2016,300000,66693,East,New York,New York City,Petrol,Dealer,Manual,First_Owner,25.17,799,53.3,72Nm@ 4386rpm,5,Y
588,608,Tata,2016,260000,60000,West,Washington,Seattle,Diesel,Individual,Manual,First_Owner,19.09,1405,69.01,135Nm@ 2500rpm,5,Y
589,609,Renault,2016,350000,25000,South,Georgia,Atlanta,Petrol,Individual,Manual,First_Owner,23.01,999,67.0,91Nm@ 4250rpm,5,Y
469,484,Maruti,2016,750000,80000,East,District of Columbia,Washington,Diesel,Individual,Manual,First_Owner,24.52,1248,88.5,200Nm@ 1750rpm,7,Y
471,486,Hyundai,2016,760000,20000,South,North Carolina,Charlotte,Petrol,Individual,Manual,First_Owner,17.01,1591,121.4,154.9Nm@ 4200rpm,5,Y
476,491,Honda,2016,425000,22000,East,District of Columbia,Washington,Petrol,Individual,Manual,First_Owner,18.5,1198,86.8,109Nm@ 4500rpm,5,Y
478,493,Maruti,2016,285000,70000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,27.62,793,47.0,125Nm@ 2000rpm,5,Y
486,501,Maruti,2016,660000,34000,Central,Texas,Dallas,Petrol,Individual,Manual,Second_Owner,17.5,1373,91.1,130Nm@ 4000rpm,7,Y
